cvr_number,company_name,website,bucket,industry_code,industry_name,gdpr_sensitive,contactable,cms,hosting,ssl_valid,ssl_expiry,subdomain_count,findings_count
40100814,3f.dk,3f.dk,E,942000,,False,True,,Cloudflare,True,2026-05-06,0,2
18326302,75820455.dk,75820455.dk,A,862100,,True,True,WordPress,Unknown,True,2026-06-14,0,5
40103414,aabvejle.dk,aabvejle.dk,E,682010,,False,True,,Cloudflare,True,2026-05-26,0,1
27230385,aagaardjensenas.dk,aagaardjensenas.dk,A,431200,,False,True,WordPress,Unknown,True,2026-05-24,0,5
35045627,addedvalues.eu,addedvalues.eu,E,711210,,True,True,,Unknown,True,2026-05-03,0,1
25674065,advokatreinwald.dk,advokatreinwald.dk,A,691000,,True,True,WordPress,LiteSpeed,True,2026-05-28,0,7
12616406,agustson.com,agustson.com,A,102020,,False,True,WordPress,Cloudflare,True,2026-05-17,0,6
30710002,alivestyle.dk,alivestyle.dk,C,461890,,False,True,Squarespace,Unknown,True,2026-05-26,0,1
20447206,apomail.dk,apomail.dk,E,477300,,False,True,,Unknown,True,2026-05-19,0,4
20284307,artwork-systems.dk,artwork-systems.dk,A,629000,,False,True,WordPress,Unknown,True,2026-05-16,0,7
35238875,autoproff.dk,autoproff.dk,C,467100,,True,True,Squarespace,Unknown,True,2026-06-01,0,1
20556188,axel-hansen.dk,axel-hansen.dk,A,813000,,False,True,WordPress,LiteSpeed,False,,0,7
68909112,balle-efterskole.dk,balle-efterskole.dk,A,852010,,True,True,WordPress,LiteSpeed,True,2026-05-04,0,7
15911891,bca.com,bca.com,E,478100,,False,True,,Cloudflare,True,2026-06-16,0,2
67235711,besma.dk,besma.dk,A,204100,,True,True,WordPress,LiteSpeed,True,2026-10-04,0,7
31583047,bhogas.dk,bhogas.dk,A,813000,,True,True,WordPress,Unknown,True,2026-05-04,0,7
10369932,bibus.dk,bibus.dk,E,466400,,False,True,,Cloudflare,True,2026-06-02,0,3
26207460,billeskovs-pc.dk,billeskovs-pc.dk,E,474000,,False,True,,LiteSpeed,True,2026-05-05,0,4
20484888,bindeballekoebmandsgaard.dk,bindeballekoebmandsgaard.dk,E,471120,,False,True,,Unknown,False,,0,5
28520336,bis-as.dk,bis-as.dk,E,251100,,False,True,,Unknown,True,2026-05-17,0,4
33510837,bizbrains.dk,bizbrains.dk,E,629000,,False,True,,Unknown,False,,0,5
87398315,bjarnemadsen.dk,bjarnemadsen.dk,E,494100,,True,True,,Unknown,True,2026-05-07,0,4
32062296,bjsj.dk,bjsj.dk,A,691000,,True,True,WordPress,LiteSpeed,True,2026-05-11,0,7
33231784,bommerhaven.dk,bommerhaven.dk,E,889150,,False,True,,Unknown,True,2026-06-07,0,5
19720543,brejning.dk,brejning.dk,E,853110,,True,True,,Cloudflare,True,2026-06-22,0,3
41326611,bsmarmor.dk,bsmarmor.dk,A,237000,,True,True,WordPress,Unknown,True,2026-04-28,0,8
23172119,bvsk.dk,bvsk.dk,A,853200,,True,True,WordPress,LiteSpeed,True,2026-05-02,0,7
32976565,bygningen-vejle.dk,bygningen-vejle.dk,D,903100,,False,True,,Unknown,True,2026-05-24,0,4
14447377,casinomunkebjerg.dk,casinomunkebjerg.dk,B,920000,,True,True,Drupal,LiteSpeed,True,2026-12-04,0,2
19263088,cdk.com,cdk.com,E,622000,,True,True,,Cloudflare,False,,0,6
27242561,centrumpaele.dk,centrumpaele.dk,A,236100,,True,True,WordPress,Unknown,True,2026-06-07,0,8
25796527,coface.com,coface.com,E,662900,,True,True,,Unknown,True,2026-10-10,0,0
28616376,conrads.dk,conrads.dk,A,561110,,True,True,WordPress,Cloudflare,True,2026-05-25,0,8
12476779,cptest.dk,cptest.dk,A,712090,,True,True,WordPress,Unknown,True,2026-06-25,0,7
32285775,crossmind.dk,crossmind.dk,E,731110,,True,True,,Cloudflare,True,2026-06-11,0,1
15661135,dal-bo.dk,dal-bo.dk,A,283000,,True,True,WordPress,Cloudflare,True,2026-06-25,0,7
20184582,daltec.com,daltec.com,A,466100,,False,True,WordPress,LiteSpeed,True,2026-05-05,0,7
34677794,damkjaergaard.dk,damkjaergaard.dk,B,872010,,True,True,Drupal,Unknown,True,2026-05-12,0,4
29215014,dan-egtved.dk,dan-egtved.dk,A,251100,,True,True,WordPress,LiteSpeed,True,2026-06-26,0,7
26662044,danbolig.dk,danbolig.dk,E,683110,,True,True,,Unknown,True,2026-08-25,0,1
18235641,dankoel.dk,dankoel.dk,D,282500,,False,True,,Unknown,False,,0,5
72770528,dansk-gastronomi.dk,dansk-gastronomi.dk,E,562200,,False,True,,LiteSpeed,False,,0,5
26638445,diafarm.dk,diafarm.dk,A,204200,,False,True,WordPress,Unknown,True,2026-05-20,0,6
26520835,dinafood.dk,dinafood.dk,E,463800,,True,True,,Unknown,True,2026-06-20,0,2
37195510,dit-bogholderi.dk,dit-bogholderi.dk,E,949100,,False,True,,Unknown,True,2026-04-29,0,4
36479183,dkel.nu,dkel.nu,E,432100,,True,True,,Unknown,True,2026-06-11,0,4
17088130,drt.dk,drt.dk,D,467100,,False,True,,Unknown,False,,0,5
14548408,eaton.com,eaton.com,D,271200,,False,True,,Unknown,True,2026-08-02,0,4
34087865,edrmedeso.com,edrmedeso.com,A,622000,,True,True,WordPress,Cloudflare,True,2026-05-26,0,7
